TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
98221SHLLLWESTM,TESORO REFINING & MARKETING CO LLC,324110,issues,issues,issues,issues,issues,MARATHON PETROLEUM CORP,110000537250.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
44482LTVST2234M,CLEVELAND-CLIFFS CLEVELAND WORKS LLC DBA CLEVELAND-CLIFFS WA,324199,issues,issues,issues,issues,issues,CLEVELAND-CLIFFS INC,110012566767.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
83705KCHMT4303G,ERGON ASPHALT & EMULSIONS INC. - BOISE,324121,issues,issues,issues,issues,issues,ERGON INC,110001805486.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
48218SCKBT14ZUG,EES COKE BATTERY LLC,324199,issues,issues,issues,issues,issues,DTE ENERGY CO,110022523269.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4504WSNCKN3353Y,MIDDLETOWN COKE CO,324199,issues,issues,issues,issues,issues,SUNCOKE ENERGY INC,110046371500.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
84087PHLLP393SO,HOLLYFRONTIER WOODS CROSS REFINING LLC,324110,issues,issues,issues,issues,issues,HOLLYFRONTIER CORP,110000469136.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
9170WRWNDL165FT,VULCAN MATERIALS CO - IRWINDALE,324121,212321.0,issues,issues,issues,issues,VULCAN MATERIALS CO,110001187992.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
74107SNRFN1700S,HOLLYFRONTIER TULSA REFINING WEST FACILITY,324110,issues,issues,issues,issues,issues,HOLLYFRONTIER CORP,110000454981.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
7841WCRPSC6746U,VALERO CORPUS CHRISTI ASPHALT TERMINAL,324121,issues,issues,issues,issues,issues,VALERO ENERGY CORP,110031302720.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
15062MNSSN345DO,CLEVELAND-CLIFFS MONESSEN COKE LLC,324199,issues,issues,issues,issues,issues,CLEVELAND-CLIFFS MONESSEN COKE LLC,110000329118.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
90749RCPRD1801E,TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,324110,issues,issues,issues,issues,issues,TESORO CORP,110017428988.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3947WRNCCR863LD,RAIN CII CARBON LLC-PURVIS CALCINING PLANT,324199,issues,issues,issues,issues,issues,RAIN CII CARBON LLC,110002206611.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
61802MLSCT705EU,EMULSICOAT INC,324121,issues,issues,issues,issues,issues,HERITAGE GROUP,110001816394.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
77640GRTLKCOKED,OXBOW CALCINING LLC,324199,issues,issues,issues,issues,issues,OXBOW CARBON & MINERALS HOLDINGS INC,110002042502.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
96707CHVRN91480,IES DOWNSTREAM LLC - KAPOLEI TERMINAL,324110,325180.0,issues,issues,issues,issues,IES DOWNSTREAM LLC,110000486304.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
93308TXCRF6451R,BAKERSFIELD RENEWABLE FUELS LLC - AREAS 1 & 2,324110,issues,issues,issues,issues,issues,GLOBAL CLEAN ENERGY HOLDINGS INC,110017887330.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
44256WNSCR890WE,OWENS CORNING - MEDINA,324121,324122.0,issues,issues,issues,issues,OWENS CORNING,110000388919.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
39477STHLNHIGHW,HUNT SOUTHLAND REFINING CO-SANDERSVILLE,324110,issues,issues,issues,issues,issues,HUNT REFINING CO A CORP,110000590842.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
16749QKRSTINTER,INTERNATIONAL WAXES INC,324199,issues,issues,issues,issues,issues,THE INTERNATIONAL GROUP INC,110000583850.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
