FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,FlowChemIdentifier
Carbon Dioxide,air,79910200.0,kg,4.9975935487584815,GHGRP,2011.0,110008054773.0,LEHIGH CEMENT CO LLC,200 HOKES MILL ROAD,YORK,PA,17404,39.94778,-76.76918,YORK,327310,,1000198,18923-20-1
Methane,air,6200.0,kg,5.0,GHGRP,2011.0,110008054773.0,LEHIGH CEMENT CO LLC,200 HOKES MILL ROAD,YORK,PA,17404,39.94778,-76.76918,YORK,327310,,1000198,74-82-8
Nitrous Oxide,air,1175.0,kg,4.042553191489362,GHGRP,2011.0,110008054773.0,LEHIGH CEMENT CO LLC,200 HOKES MILL ROAD,YORK,PA,17404,39.94778,-76.76918,YORK,327310,,1000198,126386-65-0
Carbon Dioxide,air,855148100.0,kg,4.972878031302415,GHGRP,2011.0,110000790653.0,Holcim (US) INC JOPPA PLANT,2500 PORTLAND RD,GRAND CHAIN,IL,62941,37.216953,-88.881162,PULASKI,327310,,1000243,18923-20-1
Methane,air,44160.0,kg,4.989130434782608,GHGRP,2011.0,110000790653.0,Holcim (US) INC JOPPA PLANT,2500 PORTLAND RD,GRAND CHAIN,IL,62941,37.216953,-88.881162,PULASKI,327310,,1000243,74-82-8
Nitrous Oxide,air,7040.0,kg,4.995738636363637,GHGRP,2011.0,110000790653.0,Holcim (US) INC JOPPA PLANT,2500 PORTLAND RD,GRAND CHAIN,IL,62941,37.216953,-88.881162,PULASKI,327310,,1000243,126386-65-0
Carbon Dioxide,air,387841200.0,kg,4.999966738964297,GHGRP,2011.0,110000863469.0,SIGNAL MOUNTAIN CEMENT CO,1201 SUCK CREEK ROAD,CHATTANOOGA,TN,37405,35.101197,-85.345342,HAMILTON,327310,,1000247,18923-20-1
Methane,air,18630.0,kg,5.0,GHGRP,2011.0,110000863469.0,SIGNAL MOUNTAIN CEMENT CO,1201 SUCK CREEK ROAD,CHATTANOOGA,TN,37405,35.101197,-85.345342,HAMILTON,327310,,1000247,74-82-8
Nitrous Oxide,air,2660.0,kg,5.0,GHGRP,2011.0,110000863469.0,SIGNAL MOUNTAIN CEMENT CO,1201 SUCK CREEK ROAD,CHATTANOOGA,TN,37405,35.101197,-85.345342,HAMILTON,327310,,1000247,126386-65-0
Carbon Dioxide,air,388608900.0,kg,4.999483542451035,GHGRP,2011.0,110002380049.0,Lehigh Northeast Cement Company,313 WARREN STREET,GLENS FALLS,NY,12801,43.3064,-73.6208,Warren,327310,,1000290,18923-20-1
